typname,oid,typlen
pg_stat_subscription,12455,-1
_pg_stat_subscription,12454,-1
pg_stat_ssl,12460,-1
_pg_stat_ssl,12459,-1
pg_stat_gssapi,12464,-1
_pg_stat_gssapi,12463,-1
pg_replication_slots,12468,-1
_pg_replication_slots,12467,-1
pg_stat_replication_slots,12473,-1
_pg_stat_replication_slots,12472,-1
pg_stat_database,12477,-1
_pg_stat_database,12476,-1
pg_stat_database_conflicts,12482,-1
_pg_stat_database_conflicts,12481,-1
pg_stat_user_functions,12486,-1
_pg_stat_user_functions,12485,-1
pg_stat_xact_user_functions,12491,-1
_pg_stat_xact_user_functions,12490,-1
pg_stat_archiver,12496,-1
_pg_stat_archiver,12495,-1
pg_stat_bgwriter,12500,-1
_pg_stat_bgwriter,12499,-1
pg_stat_wal,12504,-1
_pg_stat_wal,12503,-1
pg_stat_progress_analyze,12508,-1
_pg_stat_progress_analyze,12507,-1
pg_stat_progress_vacuum,12513,-1
_pg_stat_progress_vacuum,12512,-1
pg_stat_progress_cluster,12518,-1
_pg_stat_progress_cluster,12517,-1
pg_stat_progress_create_index,12523,-1
_pg_stat_progress_create_index,12522,-1
pg_stat_progress_basebackup,12528,-1
_pg_stat_progress_basebackup,12527,-1
pg_stat_progress_copy,12533,-1
_pg_stat_progress_copy,12532,-1
pg_user_mappings,12538,-1
_pg_user_mappings,12537,-1
pg_replication_origin_status,12543,-1
_pg_replication_origin_status,12542,-1
cardinal_number,13690,4
_cardinal_number,13689,-1
character_data,13693,-1
_character_data,13692,-1
sql_identifier,13695,64
_sql_identifier,13694,-1
information_schema_catalog_name,13698,-1
_information_schema_catalog_name,13697,-1
time_stamp,13701,8
_time_stamp,13700,-1
yes_or_no,13703,-1
_yes_or_no,13702,-1
applicable_roles,13707,-1
_applicable_roles,13706,-1
administrable_role_authorizations,13712,-1
_administrable_role_authorizations,13711,-1
attributes,13716,-1
_attributes,13715,-1
character_sets,13721,-1
_character_sets,13720,-1
check_constraint_routine_usage,13726,-1
_check_constraint_routine_usage,13725,-1
check_constraints,13731,-1
_check_constraints,13730,-1
collations,13736,-1
_collations,13735,-1
collation_character_set_applicability,13741,-1
_collation_character_set_applicability,13740,-1
column_column_usage,13746,-1
_column_column_usage,13745,-1
column_domain_usage,13751,-1
_column_domain_usage,13750,-1
column_privileges,13756,-1
_column_privileges,13755,-1
column_udt_usage,13761,-1
_column_udt_usage,13760,-1
columns,13766,-1
_columns,13765,-1
constraint_column_usage,13771,-1
_constraint_column_usage,13770,-1
constraint_table_usage,13776,-1
_constraint_table_usage,13775,-1
domain_constraints,13781,-1
_domain_constraints,13780,-1
domain_udt_usage,13786,-1
_domain_udt_usage,13785,-1
domains,13791,-1
_domains,13790,-1
enabled_roles,13796,-1
_enabled_roles,13795,-1
key_column_usage,13800,-1
_key_column_usage,13799,-1
parameters,13805,-1
_parameters,13804,-1
referential_constraints,13810,-1
_referential_constraints,13809,-1
role_column_grants,13815,-1
_role_column_grants,13814,-1
routine_column_usage,13819,-1
_routine_column_usage,13818,-1
routine_privileges,13824,-1
_routine_privileges,13823,-1
role_routine_grants,13829,-1
_role_routine_grants,13828,-1
routine_routine_usage,13833,-1
_routine_routine_usage,13832,-1
routine_sequence_usage,13838,-1
_routine_sequence_usage,13837,-1
routine_table_usage,13843,-1
_routine_table_usage,13842,-1
routines,13848,-1
_routines,13847,-1
schemata,13853,-1
_schemata,13852,-1
sequences,13857,-1
_sequences,13856,-1
sql_features,13862,-1
_sql_features,13861,-1
sql_implementation_info,13867,-1
_sql_implementation_info,13866,-1
sql_parts,13872,-1
_sql_parts,13871,-1
sql_sizing,13877,-1
_sql_sizing,13876,-1
table_constraints,13882,-1
_table_constraints,13881,-1
table_privileges,13887,-1
_table_privileges,13886,-1
role_table_grants,13892,-1
_role_table_grants,13891,-1
tables,13896,-1
_tables,13895,-1
transforms,13901,-1
_transforms,13900,-1
triggered_update_columns,13906,-1
_triggered_update_columns,13905,-1
triggers,13911,-1
_triggers,13910,-1
udt_privileges,13916,-1
_udt_privileges,13915,-1
role_udt_grants,13921,-1
_role_udt_grants,13920,-1
usage_privileges,13925,-1
_usage_privileges,13924,-1
role_usage_grants,13930,-1
_role_usage_grants,13929,-1
user_defined_types,13934,-1
_user_defined_types,13933,-1
view_column_usage,13939,-1
_view_column_usage,13938,-1
view_routine_usage,13944,-1
_view_routine_usage,13943,-1
view_table_usage,13949,-1
_view_table_usage,13948,-1
views,13954,-1
_views,13953,-1
data_type_privileges,13959,-1
_data_type_privileges,13958,-1
element_types,13964,-1
_element_types,13963,-1
_pg_foreign_table_columns,13969,-1
__pg_foreign_table_columns,13968,-1
column_options,13974,-1
_column_options,13973,-1
_pg_foreign_data_wrappers,13978,-1
__pg_foreign_data_wrappers,13977,-1
foreign_data_wrapper_options,13982,-1
_foreign_data_wrapper_options,13981,-1
foreign_data_wrappers,13986,-1
_foreign_data_wrappers,13985,-1
_pg_foreign_servers,13990,-1
__pg_foreign_servers,13989,-1
foreign_server_options,13995,-1
_foreign_server_options,13994,-1
foreign_servers,13999,-1
_foreign_servers,13998,-1
_pg_foreign_tables,14003,-1
__pg_foreign_tables,14002,-1
foreign_table_options,14008,-1
_foreign_table_options,14007,-1
foreign_tables,14012,-1
_foreign_tables,14011,-1
_pg_user_mappings,14016,-1
__pg_user_mappings,14015,-1
user_mapping_options,14021,-1
_user_mapping_options,14020,-1
user_mappings,14026,-1
_user_mappings,14025,-1
(601 rows)
